session_id,station_id,vehicle_id,start_time,end_time,energy_kwh,cost
47,ST002,V199,2025-04-06 02:08:00,2025-04-06 02:57:00,13.44,201.6
48,ST001,V146,2025-04-04 21:45:00,2025-04-04 22:25:00,24.73,370.95
49,ST004,V150,2025-04-07 13:02:00,2025-04-07 14:52:00,21.73,325.95
50,ST002,V191,2025-04-02 06:26:00,2025-04-02 07:23:00,22.66,339.9
51,ST002,V165,2025-04-03 11:12:00,2025-04-03 12:30:00,13.62,204.3
52,ST001,V196,2025-04-02 06:57:00,2025-04-02 08:16:00,21.16,317.4
53,ST003,V072,2025-04-10 10:36:00,2025-04-10 12:09:00,20.27,304.05
54,ST004,V054,2025-04-09 22:59:00,2025-04-09 23:51:00,21.99,329.85
55,ST002,V131,2025-04-02 12:52:00,2025-04-02 14:33:00,21.58,323.7
56,ST003,V158,2025-04-08 03:41:00,2025-04-08 04:38:00,18.88,283.2
57,ST001,V052,2025-04-03 10:37:00,2025-04-03 11:19:00,14.21,213.15
58,ST004,V081,2025-04-02 20:10:00,2025-04-02 20:44:00,15.61,234.15
59,ST004,V134,2025-04-10 06:55:00,2025-04-10 08:05:00,20.88,313.2
60,ST001,V064,2025-04-07 17:22:00,2025-04-07 18:17:00,15.05,225.75
61,ST004,V020,2025-04-03 07:33:00,2025-04-03 08:12:00,17.18,257.7
62,ST004,V173,2025-04-01 02:28:00,2025-04-01 04:04:00,20.28,304.2
63,ST005,V045,2025-04-10 10:44:00,2025-04-10 12:40:00,17.09,256.35
64,ST004,V041,2025-04-03 22:22:00,2025-04-04 00:04:00,19.67,295.05
65,ST002,V187,2025-04-08 07:11:00,2025-04-08 09:04:00,20.55,308.25
66,ST001,V005,2025-04-06 14:13:00,2025-04-06 15:19:00,14.09,211.35
67,ST004,V025,2025-04-09 16:19:00,2025-04-09 17:41:00,24.74,371.1
68,ST003,V072,2025-04-08 07:10:00,2025-04-08 08:00:00,10.19,152.85
69,ST001,V014,2025-04-05 02:27:00,2025-04-05 04:12:00,14.94,224.1
70,ST004,V137,2025-04-08 01:34:00,2025-04-08 03:29:00,12.91,193.65
71,ST004,V045,2025-04-02 13:02:00,2025-04-02 14:20:00,18.09,271.35
72,ST002,V189,2025-04-07 18:46:00,2025-04-07 19:40:00,11.36,170.4
73,ST001,V163,2025-04-08 00:40:00,2025-04-08 02:03:00,17.33,259.95
74,ST001,V035,2025-04-04 20:56:00,2025-04-04 21:43:00,15.24,228.6
75,ST003,V042,2025-04-01 04:25:00,2025-04-01 06:03:00,16.64,249.6
76,ST003,V173,2025-04-06 23:08:00,2025-04-07 00:24:00,15.59,233.85
77,ST005,V148,2025-04-10 07:14:00,2025-04-10 08:38:00,23.05,345.75
78,ST001,V181,2025-04-05 19:29:00,2025-04-05 20:22:00,23.0,345.0
79,ST001,V081,2025-04-01 19:19:00,2025-04-01 20:26:00,10.03,150.45
80,ST002,V081,2025-04-05 08:50:00,2025-04-05 10:31:00,10.35,155.25
81,ST003,V046,2025-04-03 01:05:00,2025-04-03 01:54:00,16.43,246.45
82,ST005,V133,2025-04-03 06:16:00,2025-04-03 06:52:00,23.3,349.5
83,ST004,V166,2025-04-08 22:56:00,2025-04-08 23:54:00,15.37,230.55
84,ST002,V063,2025-04-10 23:31:00,2025-04-11 00:43:00,14.64,219.6
85,ST005,V114,2025-04-06 17:22:00,2025-04-06 19:21:00,17.92,268.8
86,ST001,V072,2025-04-05 21:40:00,2025-04-05 23:15:00,14.77,221.55
87,ST005,V105,2025-04-03 03:47:00,2025-04-03 04:56:00,18.49,277.35
88,ST002,V009,2025-04-05 11:44:00,2025-04-05 13:18:00,19.74,296.1
89,ST001,V044,2025-04-10 10:23:00,2025-04-10 12:15:00,10.81,162.15
90,ST004,V047,2025-04-09 02:45:00,2025-04-09 03:50:00,20.71,310.65
91,ST003,V094,2025-04-01 13:59:00,2025-04-01 15:37:00,18.62,279.3
92,ST001,V140,2025-04-02 22:57:00,2025-04-02 23:35:00,17.1,256.5
93,ST001,V072,2025-04-02 01:51:00,2025-04-02 03:20:00,17.47,262.05
94,ST002,V193,2025-04-07 02:40:00,2025-04-07 03:52:00,12.1,181.5
95,ST004,V076,2025-04-04 09:03:00,2025-04-04 10:38:00,23.57,353.55
96,ST003,V060,2025-04-10 11:48:00,2025-04-10 12:22:00,11.33,169.95
97,ST005,V073,2025-04-05 16:18:00,2025-04-05 18:10:00,19.52,292.8
98,ST001,V085,2025-04-01 22:27:00,2025-04-02 00:23:00,11.01,165.15
99,ST001,V071,2025-04-06 07:28:00,2025-04-06 08:39:00,19.69,295.35
100,ST001,V003,2025-04-06 13:27:00,2025-04-06 14:53:00,22.81,342.15
101,ST005,V042,2025-04-09 23:44:00,2025-04-10 00:50:00,14.54,218.1
102,ST004,V069,2025-04-08 17:17:00,2025-04-08 19:11:00,17.08,256.2
103,ST003,V126,2025-04-09 09:21:00,2025-04-09 11:06:00,20.28,304.2
104,ST002,V005,2025-04-08 18:41:00,2025-04-08 19:33:00,16.33,244.95
105,ST002,V077,2025-04-10 16:07:00,2025-04-10 17:16:00,11.27,169.05
106,ST001,V105,2025-04-01 16:29:00,2025-04-01 17:30:00,24.08,361.2
107,ST001,V028,2025-04-07 08:54:00,2025-04-07 10:11:00,12.48,187.2
108,ST004,V180,2025-04-06 14:07:00,2025-04-06 15:16:00,14.03,210.45
109,ST005,V113,2025-04-05 23:36:00,2025-04-06 01:07:00,18.16,272.4
110,ST001,V007,2025-04-03 03:12:00,2025-04-03 04:27:00,21.28,319.2
111,ST003,V078,2025-04-04 04:05:00,2025-04-04 05:10:00,12.31,184.65
112,ST001,V131,2025-04-03 19:11:00,2025-04-03 20:07:00,20.32,304.8
113,ST004,V146,2025-04-03 23:15:00,2025-04-04 00:43:00,17.79,266.85
114,ST005,V118,2025-04-04 18:35:00,2025-04-04 19:35:00,24.3,364.5
115,ST004,V021,2025-04-03 19:53:00,2025-04-03 21:22:00,12.32,184.8
116,ST001,V012,2025-04-05 23:03:00,2025-04-06 00:11:00,16.57,248.55
117,ST004,V051,2025-04-10 06:02:00,2025-04-10 06:55:00,20.07,301.05
118,ST001,V173,2025-04-06 11:13:00,2025-04-06 12:34:00,18.63,279.45
119,ST003,V153,2025-04-06 13:04:00,2025-04-06 13:49:00,18.55,278.25
120,ST004,V158,2025-04-06 12:15:00,2025-04-06 12:57:00,19.9,298.5
121,ST003,V090,2025-04-10 20:15:00,2025-04-10 20:52:00,22.38,335.7
122,ST002,V193,2025-04-07 21:04:00,2025-04-07 22:18:00,21.92,328.8
123,ST005,V076,2025-04-01 23:28:00,2025-04-02 00:45:00,22.88,343.2
124,ST001,V186,2025-04-01 01:23:00,2025-04-01 03:20:00,23.57,353.55
125,ST005,V107,2025-04-07 20:35:00,2025-04-07 21:18:00,22.63,339.45
126,ST001,V129,2025-04-05 04:12:00,2025-04-05 04:53:00,20.31,304.65
127,ST001,V087,2025-04-01 06:19:00,2025-04-01 07:28:00,13.52,202.8
128,ST005,V168,2025-04-07 06:20:00,2025-04-07 08:06:00,20.55,308.25
129,ST002,V128,2025-04-02 21:54:00,2025-04-02 23:16:00,13.17,197.55
130,ST004,V057,2025-04-07 12:20:00,2025-04-07 12:50:00,17.39,260.85
131,ST001,V102,2025-04-02 02:53:00,2025-04-02 03:44:00,14.18,212.7
132,ST005,V095,2025-04-09 08:24:00,2025-04-09 09:24:00,16.87,253.05
133,ST002,V104,2025-04-06 01:26:00,2025-04-06 02:28:00,15.75,236.25
134,ST002,V001,2025-04-08 03:46:00,2025-04-08 04:57:00,23.34,350.1
135,ST003,V011,2025-04-05 05:16:00,2025-04-05 06:29:00,20.92,313.8
136,ST005,V174,2025-04-06 11:07:00,2025-04-06 12:44:00,18.85,282.75
137,ST002,V029,2025-04-01 09:45:00,2025-04-01 11:07:00,11.45,171.75
138,ST005,V196,2025-04-01 21:01:00,2025-04-01 21:56:00,15.19,227.85
139,ST003,V141,2025-04-06 20:57:00,2025-04-06 21:38:00,14.57,218.55
140,ST003,V160,2025-04-01 12:30:00,2025-04-01 13:38:00,17.55,263.25
141,ST004,V165,2025-04-10 13:00:00,2025-04-10 14:43:00,15.27,229.05
142,ST001,V160,2025-04-01 23:41:00,2025-04-02 00:37:00,11.23,168.45
143,ST002,V169,2025-04-07 08:49:00,2025-04-07 09:33:00,12.95,194.25
144,ST005,V109,2025-04-06 14:31:00,2025-04-06 16:30:00,15.45,231.75
145,ST002,V034,2025-04-02 21:31:00,2025-04-02 22:41:00,23.29,349.35
146,ST003,V005,2025-04-08 14:36:00,2025-04-08 15:42:00,24.62,369.3
147,ST004,V033,2025-04-03 00:29:00,2025-04-03 02:05:00,10.37,155.55
148,ST001,V130,2025-04-08 18:44:00,2025-04-08 19:50:00,17.84,267.6
149,ST001,V195,2025-04-09 02:08:00,2025-04-09 03:40:00,17.42,261.3
150,ST001,V092,2025-04-07 20:05:00,2025-04-07 21:11:00,20.56,308.4
151,ST002,V121,2025-04-09 11:26:00,2025-04-09 11:57:00,16.37,245.55
152,ST003,V003,2025-04-01 08:23:00,2025-04-01 09:19:00,10.22,153.3
153,ST001,V088,2025-04-03 20:10:00,2025-04-03 21:54:00,21.24,318.6
154,ST002,V027,2025-04-09 19:17:00,2025-04-09 20:59:00,14.78,221.7
155,ST005,V074,2025-04-01 06:58:00,2025-04-01 08:51:00,11.65,174.75
156,ST002,V117,2025-04-09 12:59:00,2025-04-09 14:57:00,24.56,368.4
157,ST001,V076,2025-04-03 01:15:00,2025-04-03 02:27:00,21.66,324.9
158,ST002,V052,2025-04-04 02:52:00,2025-04-04 03:39:00,17.73,265.95
159,ST002,V104,2025-04-07 01:19:00,2025-04-07 02:50:00,24.4,366.0
160,ST004,V004,2025-04-01 09:54:00,2025-04-01 11:29:00,19.65,294.75
161,ST003,V141,2025-04-09 02:18:00,2025-04-09 03:30:00,18.16,272.4
162,ST001,V055,2025-04-03 18:04:00,2025-04-03 19:03:00,19.91,298.65
163,ST005,V127,2025-04-05 21:49:00,2025-04-05 23:11:00,17.43,261.45
164,ST002,V194,2025-04-01 09:56:00,2025-04-01 11:17:00,21.56,323.4
165,ST003,V168,2025-04-10 22:11:00,2025-04-10 22:53:00,18.63,279.45
166,ST001,V039,2025-04-06 01:04:00,2025-04-06 01:40:00,13.6,204.0
167,ST002,V005,2025-04-06 03:23:00,2025-04-06 05:11:00,10.63,159.45
168,ST005,V194,2025-04-07 21:20:00,2025-04-07 22:38:00,11.78,176.7
169,ST004,V114,2025-04-08 01:20:00,2025-04-08 03:18:00,14.95,224.25
170,ST001,V043,2025-04-09 09:34:00,2025-04-09 11:10:00,21.03,315.45
171,ST003,V043,2025-04-01 12:02:00,2025-04-01 12:52:00,23.12,346.8
172,ST004,V168,2025-04-06 17:19:00,2025-04-06 17:49:00,16.15,242.25
173,ST005,V138,2025-04-03 05:34:00,2025-04-03 06:29:00,23.06,345.9
174,ST002,V100,2025-04-08 13:28:00,2025-04-08 15:14:00,18.42,276.3
175,ST004,V016,2025-04-02 18:13:00,2025-04-02 18:59:00,12.84,192.6
176,ST001,V157,2025-04-01 13:50:00,2025-04-01 14:50:00,15.78,236.7
177,ST002,V001,2025-04-05 03:38:00,2025-04-05 05:19:00,13.2,198.0
178,ST005,V108,2025-04-02 12:46:00,2025-04-02 14:14:00,22.28,334.2
179,ST003,V130,2025-04-07 20:45:00,2025-04-07 22:31:00,10.6,159.0
180,ST005,V136,2025-04-04 20:53:00,2025-04-04 21:55:00,24.76,371.4
181,ST002,V101,2025-04-07 20:13:00,2025-04-07 21:01:00,16.5,247.5
182,ST002,V171,2025-04-06 20:57:00,2025-04-06 22:28:00,14.35,215.25
183,ST002,V161,2025-04-08 05:46:00,2025-04-08 06:19:00,11.15,167.25
184,ST004,V046,2025-04-03 12:52:00,2025-04-03 14:36:00,23.29,349.35
185,ST003,V082,2025-04-04 22:28:00,2025-04-04 23:38:00,17.67,265.05
186,ST001,V042,2025-04-05 11:47:00,2025-04-05 12:48:00,24.58,368.7
187,ST001,V050,2025-04-04 17:35:00,2025-04-04 19:22:00,13.47,202.05
188,ST004,V040,2025-04-03 15:15:00,2025-04-03 16:05:00,10.48,157.2
189,ST003,V077,2025-04-08 18:06:00,2025-04-08 18:57:00,21.64,324.6
190,ST002,V025,2025-04-07 12:12:00,2025-04-07 14:08:00,22.01,330.15
191,ST001,V071,2025-04-04 23:35:00,2025-04-05 01:14:00,18.81,282.15
192,ST004,V096,2025-04-04 00:02:00,2025-04-04 00:38:00,16.74,251.1
193,ST001,V129,2025-04-03 00:31:00,2025-04-03 01:10:00,18.0,270.0
194,ST001,V004,2025-04-03 02:43:00,2025-04-03 03:24:00,24.29,364.35
195,ST001,V047,2025-04-10 04:53:00,2025-04-10 05:36:00,18.68,280.2
196,ST005,V007,2025-04-04 07:49:00,2025-04-04 09:14:00,17.04,255.6
197,ST004,V113,2025-04-04 09:24:00,2025-04-04 11:04:00,19.07,286.05
198,ST002,V061,2025-04-09 04:26:00,2025-04-09 05:17:00,12.09,181.35
199,ST005,V046,2025-04-07 16:27:00,2025-04-07 18:15:00,18.52,277.8
200,ST002,V022,2025-04-01 04:16:00,2025-04-01 06:10:00,22.75,341.25
201,ST004,V102,2025-04-02 03:03:00,2025-04-02 03:34:00,17.94,269.1
202,ST005,V086,2025-04-09 23:53:00,2025-04-10 01:53:00,14.67,220.05
203,ST002,V154,2025-04-06 03:58:00,2025-04-06 05:50:00,15.7,235.5
204,ST002,V100,2025-04-03 17:40:00,2025-04-03 18:35:00,23.81,357.15
205,ST003,V089,2025-04-03 07:50:00,2025-04-03 08:44:00,21.76,326.4
206,ST003,V068,2025-04-10 14:38:00,2025-04-10 16:06:00,12.4,186.0
207,ST003,V174,2025-04-02 09:21:00,2025-04-02 10:11:00,11.25,168.75
208,ST004,V145,2025-04-08 00:52:00,2025-04-08 01:23:00,12.14,182.1
209,ST005,V066,2025-04-09 21:37:00,2025-04-09 23:21:00,16.6,249.0
210,ST004,V145,2025-04-04 17:04:00,2025-04-04 18:02:00,10.72,160.8
211,ST004,V110,2025-04-07 12:52:00,2025-04-07 13:50:00,16.43,246.45
212,ST004,V134,2025-04-01 05:00:00,2025-04-01 06:16:00,21.17,317.55
213,ST003,V124,2025-04-03 14:19:00,2025-04-03 16:08:00,17.39,260.85
214,ST005,V139,2025-04-04 02:12:00,2025-04-04 03:40:00,16.0,240.0
215,ST004,V130,2025-04-10 12:33:00,2025-04-10 13:32:00,13.59,203.85
216,ST004,V100,2025-04-04 23:13:00,2025-04-05 00:25:00,13.81,207.15
217,ST003,V031,2025-04-07 10:49:00,2025-04-07 12:26:00,13.89,208.35
218,ST004,V046,2025-04-02 01:09:00,2025-04-02 02:00:00,18.79,281.85
219,ST002,V068,2025-04-10 05:53:00,2025-04-10 07:50:00,22.36,335.4
220,ST004,V196,2025-04-10 03:55:00,2025-04-10 04:53:00,12.0,180.0
221,ST005,V195,2025-04-04 09:08:00,2025-04-04 10:48:00,20.92,313.8
222,ST002,V076,2025-04-01 00:08:00,2025-04-01 00:48:00,15.64,234.6
223,ST004,V131,2025-04-01 21:37:00,2025-04-01 23:21:00,22.66,339.9
224,ST001,V071,2025-04-06 14:53:00,2025-04-06 16:18:00,19.43,291.45
225,ST003,V188,2025-04-01 23:00:00,2025-04-01 23:45:00,22.56,338.4
226,ST003,V134,2025-04-08 20:52:00,2025-04-08 22:02:00,16.59,248.85
227,ST002,V177,2025-04-06 00:23:00,2025-04-06 01:23:00,22.47,337.05
228,ST005,V155,2025-04-05 16:48:00,2025-04-05 18:34:00,10.72,160.8
229,ST004,V159,2025-04-02 03:03:00,2025-04-02 05:03:00,17.95,269.25
230,ST003,V042,2025-04-01 08:16:00,2025-04-01 10:05:00,14.17,212.55
231,ST005,V159,2025-04-03 22:45:00,2025-04-04 00:28:00,14.25,213.75
232,ST004,V070,2025-04-05 09:57:00,2025-04-05 11:20:00,14.58,218.7
233,ST002,V136,2025-04-07 03:13:00,2025-04-07 04:13:00,23.29,349.35
234,ST002,V194,2025-04-04 13:38:00,2025-04-04 15:19:00,11.18,167.7
235,ST004,V007,2025-04-01 18:26:00,2025-04-01 19:42:00,23.66,354.9
236,ST003,V170,2025-04-09 13:01:00,2025-04-09 13:50:00,19.04,285.6
237,ST003,V065,2025-04-01 07:07:00,2025-04-01 08:53:00,19.35,290.25
238,ST004,V014,2025-04-02 12:24:00,2025-04-02 12:56:00,11.49,172.35
239,ST003,V181,2025-04-02 01:53:00,2025-04-02 03:02:00,12.28,184.2
240,ST004,V072,2025-04-06 21:35:00,2025-04-06 22:57:00,15.18,227.7
241,ST003,V084,2025-04-08 17:40:00,2025-04-08 18:19:00,10.85,162.75
242,ST001,V091,2025-04-09 06:03:00,2025-04-09 06:42:00,20.16,302.4
243,ST005,V032,2025-04-10 15:53:00,2025-04-10 16:45:00,12.95,194.25
244,ST003,V158,2025-04-06 09:29:00,2025-04-06 10:04:00,20.91,313.65
245,ST004,V002,2025-04-02 00:50:00,2025-04-02 02:16:00,24.9,373.5
246,ST005,V161,2025-04-08 19:33:00,2025-04-08 21:00:00,23.94,359.1
247,ST001,V058,2025-04-02 05:53:00,2025-04-02 07:07:00,13.0,195.0
248,ST002,V108,2025-04-06 21:33:00,2025-04-06 22:05:00,22.68,340.2
249,ST004,V081,2025-04-06 18:57:00,2025-04-06 19:46:00,10.95,164.25
250,ST005,V151,2025-04-06 06:14:00,2025-04-06 07:30:00,22.46,336.9
251,ST002,V137,2025-04-04 04:23:00,2025-04-04 05:49:00,21.95,329.25
252,ST002,V031,2025-04-03 11:25:00,2025-04-03 12:35:00,16.92,253.8
253,ST003,V155,2025-04-04 17:52:00,2025-04-04 19:12:00,14.21,213.15
254,ST002,V121,2025-04-02 05:39:00,2025-04-02 06:45:00,17.57,263.55
255,ST004,V167,2025-04-01 20:05:00,2025-04-01 20:44:00,10.66,159.9
256,ST004,V188,2025-04-10 00:50:00,2025-04-10 02:30:00,13.28,199.2
257,ST001,V191,2025-04-07 22:17:00,2025-04-07 23:53:00,19.91,298.65
258,ST001,V147,2025-04-08 02:32:00,2025-04-08 04:04:00,12.52,187.8
259,ST005,V197,2025-04-01 02:53:00,2025-04-01 04:12:00,14.16,212.4
260,ST003,V008,2025-04-07 16:32:00,2025-04-07 17:07:00,22.49,337.35
261,ST005,V053,2025-04-10 21:43:00,2025-04-10 23:31:00,10.82,162.3
262,ST004,V020,2025-04-07 03:12:00,2025-04-07 03:52:00,24.22,363.3
263,ST002,V085,2025-04-04 00:41:00,2025-04-04 02:20:00,12.56,188.4
264,ST002,V043,2025-04-10 06:19:00,2025-04-10 07:16:00,12.32,184.8
265,ST005,V105,2025-04-01 13:05:00,2025-04-01 14:00:00,18.78,281.7
266,ST004,V030,2025-04-09 05:40:00,2025-04-09 07:20:00,19.48,292.2
267,ST001,V179,2025-04-02 13:54:00,2025-04-02 14:42:00,16.41,246.15
268,ST002,V089,2025-04-10 21:50:00,2025-04-10 23:30:00,14.61,219.15
269,ST005,V099,2025-04-07 07:23:00,2025-04-07 08:04:00,10.0,150.0
270,ST002,V127,2025-04-06 10:29:00,2025-04-06 12:14:00,17.9,268.5
271,ST005,V195,2025-04-01 01:45:00,2025-04-01 02:32:00,11.45,171.75
272,ST002,V199,2025-04-01 19:23:00,2025-04-01 21:10:00,12.02,180.3
273,ST002,V098,2025-04-07 16:19:00,2025-04-07 16:59:00,21.9,328.5
274,ST004,V087,2025-04-01 04:27:00,2025-04-01 05:41:00,24.82,372.3
275,ST002,V024,2025-04-03 11:51:00,2025-04-03 12:29:00,13.4,201.0
276,ST005,V051,2025-04-04 17:55:00,2025-04-04 19:08:00,16.16,242.4
277,ST004,V093,2025-04-02 07:07:00,2025-04-02 07:49:00,15.55,233.25
278,ST004,V029,2025-04-06 02:01:00,2025-04-06 03:30:00,18.29,274.35
279,ST004,V056,2025-04-05 04:02:00,2025-04-05 05:37:00,19.2,288.0
280,ST001,V061,2025-04-10 04:42:00,2025-04-10 06:30:00,12.07,181.05
281,ST004,V200,2025-04-02 06:00:00,2025-04-02 07:27:00,19.67,295.05
282,ST001,V108,2025-04-05 17:54:00,2025-04-05 19:03:00,23.92,358.8
283,ST003,V169,2025-04-04 19:11:00,2025-04-04 20:24:00,16.23,243.45
284,ST004,V023,2025-04-05 17:00:00,2025-04-05 17:40:00,19.86,297.9
285,ST005,V035,2025-04-07 08:32:00,2025-04-07 10:20:00,11.87,178.05
286,ST001,V042,2025-04-04 07:12:00,2025-04-04 08:21:00,14.58,218.7
287,ST001,V151,2025-04-04 05:42:00,2025-04-04 07:04:00,12.87,193.05
288,ST001,V097,2025-04-02 04:45:00,2025-04-02 05:23:00,18.89,283.35
289,ST005,V165,2025-04-10 16:34:00,2025-04-10 18:11:00,15.25,228.75
290,ST003,V175,2025-04-05 06:57:00,2025-04-05 08:35:00,23.88,358.2
291,ST002,V155,2025-04-04 08:37:00,2025-04-04 10:13:00,14.3,214.5
292,ST001,V042,2025-04-04 12:26:00,2025-04-04 13:45:00,23.85,357.75
293,ST004,V150,2025-04-03 06:51:00,2025-04-03 07:31:00,24.86,372.9
294,ST001,V125,2025-04-05 06:46:00,2025-04-05 08:04:00,16.78,251.7
295,ST004,V133,2025-04-04 18:34:00,2025-04-04 19:41:00,23.77,356.55
296,ST001,V118,2025-04-10 10:04:00,2025-04-10 11:11:00,17.34,260.1
297,ST001,V167,2025-04-07 02:24:00,2025-04-07 03:33:00,21.66,324.9
298,ST003,V191,2025-04-03 03:16:00,2025-04-03 03:49:00,24.36,365.4
299,ST004,V118,2025-04-03 01:54:00,2025-04-03 02:32:00,22.28,334.2
300,ST003,V155,2025-04-03 08:24:00,2025-04-03 10:17:00,14.65,219.75
301,ST005,V035,2025-04-09 04:52:00,2025-04-09 06:24:00,16.04,240.6
302,ST003,V168,2025-04-08 13:48:00,2025-04-08 14:31:00,24.6,369.0
303,ST005,V054,2025-04-08 01:27:00,2025-04-08 03:24:00,11.16,167.4
304,ST004,V100,2025-04-02 00:54:00,2025-04-02 01:41:00,16.42,246.3
305,ST004,V148,2025-04-07 08:56:00,2025-04-07 10:56:00,21.98,329.7
306,ST003,V055,2025-04-06 01:04:00,2025-04-06 02:25:00,13.54,203.1
307,ST004,V107,2025-04-03 13:45:00,2025-04-03 15:23:00,13.08,196.2
308,ST002,V187,2025-04-04 13:25:00,2025-04-04 14:10:00,19.19,287.85
309,ST005,V039,2025-04-06 17:59:00,2025-04-06 19:54:00,18.73,280.95
310,ST002,V126,2025-04-07 00:00:00,2025-04-07 01:17:00,12.01,180.15
311,ST001,V121,2025-04-02 05:35:00,2025-04-02 06:57:00,13.02,195.3
312,ST001,V125,2025-04-07 20:25:00,2025-04-07 21:45:00,14.57,218.55
313,ST001,V060,2025-04-06 12:11:00,2025-04-06 13:31:00,11.06,165.9
314,ST005,V083,2025-04-02 16:00:00,2025-04-02 17:31:00,23.9,358.5
315,ST005,V045,2025-04-08 09:54:00,2025-04-08 10:35:00,22.01,330.15
316,ST004,V075,2025-04-10 09:34:00,2025-04-10 10:46:00,14.63,219.45
317,ST003,V105,2025-04-07 11:26:00,2025-04-07 12:05:00,24.92,373.8
318,ST004,V148,2025-04-06 11:14:00,2025-04-06 12:10:00,11.72,175.8
319,ST002,V097,2025-04-09 04:48:00,2025-04-09 06:37:00,17.06,255.9
320,ST002,V069,2025-04-10 22:10:00,2025-04-10 23:48:00,23.48,352.2
321,ST005,V023,2025-04-05 02:26:00,2025-04-05 03:08:00,13.27,199.05
322,ST003,V189,2025-04-06 10:19:00,2025-04-06 10:52:00,15.63,234.45
323,ST001,V172,2025-04-01 18:17:00,2025-04-01 19:50:00,13.42,201.3
324,ST003,V129,2025-04-08 21:30:00,2025-04-08 23:30:00,11.62,174.3
